spell_id;rarity;talent_spells
5185;common;17104,17063,24968,34151,35363,17069,33881,17116,16845,17118,33879
5176;common;16819,33603,16814,16850,17063,33592,16896,33589,35363,16845,16909
1126;uncommon;17050,17118
8921;uncommon;16819,48516,33592,57865,16821,16896,57810,33589,16845,17118,48506,16909
774;common;17104,57849,17111,57865,33886,57810,16845,48539,17118
467;common;16819,17118,16836,467
339;uncommon;16819,17063,57810,17116,16836
5487;rare;16833,48492
6807;common;16934,16998,48483,33917,48432
6795;common;
99;common;16858
18960;unavailable;
8936;common;17063,57810,16845,57865,17118,17116,17104,17074,33886,48496
5229;common;17106,48492
50769;uncommon;
8946;uncommon;17118
5211;common;16940
1066;uncommon;16833
779;common;16934,16947
770;uncommon;16819,33600
16857;uncommon;16819,33600
2637;rare;16819,16850,17116
768;rare;16833,17056,48492,48411
1082;common;16934,16998,37116
5215;rare;16947
1079;uncommon;57810,48409,33917,63503
20484;legendary;17116
2912;common;16814,16845,35363,16819,16909,16850,16896,57849,33603,48516,48506
2457;common;12295
78;common;29787,16493,12282,50685
6673;common;12321,12858
100;common;12285,64976,57499
772;common;29836,29787,16493,12286
6343;uncommon;29787,16493,12287,50685
34428;rare;
1715;uncommon;29787,16493,12289
2687;common;12301,46908
71;uncommon;12295,29593
355;common;50720
7386;uncommon;12308,29787,20243
7384;uncommon;12290,56636,46859,29787,16493
72;uncommon;12311,29787
6572;uncommon;12797,46859,29787,16493
1160;common;12321,12324,29787
2565;rare;29597
694;uncommon;29787,16493
676;rare;12313,29787
845;common;12329,50685,29787,16493
20230;epic;12312
635;common;20205,20237,20210,20216,20359,31833,53569
21084;common;20101,20224,53671
465;common;20138,31821
19740;common;20101,20042
20271;common;20101,25956,20335,53671,53556,53695,31876,31879,53380
498;common;20101,31848
853;uncommon;20101,20487,53695
1152;common;20101,31825
1022;rare;20101,20174
633;epic;20234
7328;uncommon;
53408;common;20101,25956,20335,53671,53556,53695,31876,31879,53380
19742;common;20101,20244
31789;uncommon;
62124;uncommon;20101
25780;uncommon;20101,20468
7294;uncommon;31821,31869,53379
1044;rare;20101,20174,53660,31871
26573;rare;20101,31825
879;common;31825,32043,53486
19750;common;20205,20237,20210,20216,5923,53569,53486,53501
5502;uncommon;
20217;rare;20101
13819;rare;26022
75;common;19552,34466,34506,34500,53215,53241
2973;common;19159,34491
1494;common;52783
13163;uncommon;19549,53265
1978;common;19416,19464,53295,53209
3044;common;19454,19416,34948,34494,56342,53221,53241,53290,34497,34506,34500
1130;;19421,53241
5116;rare;19407,19416,34506
13165;uncommon;19552,53265
19883;;52783
1515;;53270
883;;
2641;;
6991;;
982;;24443
136;common;19572
2974;common;34491
20736;uncommon;19416,19498
6197;uncommon;
1513;rare;
1002;uncommon;
5118;rare;19559
13795;uncommon;19184,19376,19286,56333,34491
1495;common;19159,34491
2643;rare;19416,19498,35100,19461,35104,53241
19884;common;52783
34074;rare;53265
781;rare;19286
1499;epic;19184,19376,19286,56342,34491,53298
2098;common;14162,14156,14179,31244,18427,31234,32601,51664
1784;rare;13958,13975,31221,58426
53;common;13733,14057,14144,14128,14186,18427,31124,31216,31234,32601,51692,51708
921;common;51713
1776;common;13741,14128,14186,31234,32601
5277;epic;13742,14185
6770;common;14076,51713
5171;common;14165,14156,14179,51664
2983;rare;13742,13743,14185
1766;common;13754
703;uncommon;14057,51632,13976,31234
8647;uncommon;14168,14156,14179,31244,32601
1966;uncommon;30892
1804;common;
8676;common;14057,14144,14128,14186,13976,14079,31221,31234,51692,51708
51722;uncommon;
1943;uncommon;51632,14171,14156,14179,31244,31234,32601
585;common;18530,27789,14909,33150
2050;common;14912
1243;common;14749
589;common;15275,15318,15260,17322,15259,33191,47580
17;common;14748,33201,63574,57470,47535,52795,64127
586;common;15274,47569
139;uncommon;14908,63534
8092;uncommon;33213,15273,15337,14910,33191,33221,47573
2006;uncommon;
588;common;14747
528;common;33167
8122;rare;15392
2054;common;18530,14912,14892
527;uncommon;33167
6346;common;
2061;uncommon;14892,33150,34753,63504,47509,47516,33158,63730
14914;uncommon;18530,27789,14909,33150
15237;epic;27789,47562
2944;rare;15318,15260,17322,15259,63625
453;uncommon;
9484;rare;
403;common;16041,16035,16039,28999,29062,16578,30675,62097
331;common;51556,29206,16182,16180,51562
8017;common;
8042;common;16035,16039,16040,43338
8071;uncommon;16258,16173
2484;uncommon;16043,51483,51523,16173
324;common;16261,51525
5730;uncommon;16043,16173
8050;common;63370,16035,16039,28999,51480,16040,43338,51483
8024;uncommon;16266
3599;uncommon;16038,16173
8075;uncommon;16259,16173
2008;uncommon;
1535;uncommon;16038,16086
370;uncommon;
526;common;
2645;rare;16262
57994;rare;
8143;rare;16173
8056;rare;16035,16039,28999,16040,43338,63370,63373
8033;uncommon;16266,63373
5394;uncommon;16173,16187
8004;common;16180,51556,51562
52127;rare;16261,16180
1459;common;11210
133;common;11069,11119,11100,11083,11115,11124,34293,31656,44445,44546
168;common;11189,11071,11175
5504;common;
116;common;11071,11070,11207,11175,11151,16757,11160,11180,31682,44543,44546,44557,44566
587;common;
2136;common;11078,18459,11119,11100,11103,11083,11242,11115,11124,34293,64353,44445
5143;rare;11210,11222,11237,31579,44404
118;rare;11247
122;epic;31670,16757,11958
604;uncommon;11247
130;uncommon;
1449;uncommon;11210,11222,11242,11108
2120;rare;11108,11100,11083,11115,11124,34293,44442
1008;uncommon;11247
475;common;
1953;rare;31569
10;rare;11108,11071,11207,11175,11151,11185,16757,11160,11180,44543,44546,44557,44566
12051;epic;44378
543;uncommon;11189,11094,44394
1463;rare;11252,44394
3561;rare;
3567;rare;
686;common;17793,17788,17778,17959,17917,34935,18130,30293,30288,18094,18271,47198,47201,63156
687;common;
348;common;17788,18119,17778,17917,17815,18130,17954,47245
688;uncommon;18694,18126,18708,18709,23785,47193,47220
172;common;18174,17810,18094,32381,63108,18218,18271,47195,30060,58435,47201,47245
702;common;18174,18179,18288,18218
1454;common;18182,30326
980;common;18827,18174,18288,18218,18271,30060,47198
5782;rare;53754,18174,18218
1120;uncommon;18213,18174,17804,17783,18218,18271,47198
6201;uncommon;18692
697;epic;18705,18708,18709,23785,47193
755;common;18174,18703
704;uncommon;18174,18288,18218
689;uncommon;18174,17804,17783,18218,18094,18271,47198
5697;unavailable;
693;epic;
5676;uncommon;17778,17959,18135,17917,17927,18130,17954,30293
706;rare;30143
698;rare;
712;epic;18754,18126,18708,18709,23785,47193
5740;rare;17778,17959,18135,17917,18130,17954
5784;rare;
