entry;kind;class_key;required_level;card_id;spell_id;name;description
910240;random_global;any;1;0;0;Tomo perdido;Enseña una habilidad aleatoria disponible que todavía no conozcas.
910241;random_class;warrior;1;0;0;Manual sobre habilidades de guerrero;Enseña una habilidad aleatoria de warrior que todavía no conozcas.
910242;random_class;rogue;1;0;0;Manual sobre habilidades de pícaro;Enseña una habilidad aleatoria de rogue que todavía no conozcas.
910243;random_class;hunter;1;0;0;Manual sobre habilidades de cazador;Enseña una habilidad aleatoria de hunter que todavía no conozcas.
910244;random_class;druid;1;0;0;Libro sobre habilidades de druida;Enseña una habilidad aleatoria de druid que todavía no conozcas.
910245;random_class;mage;1;0;0;Escrito sobre habilidades de mago;Enseña una habilidad aleatoria de mage que todavía no conozcas.
910246;random_class;paladin;1;0;0;Tratado sobre habilidades de paladín;Enseña una habilidad aleatoria de paladin que todavía no conozcas.
910247;random_class;priest;1;0;0;Códice sobre habilidades de sacerdote;Enseña una habilidad aleatoria de priest que todavía no conozcas.
910248;random_class;shaman;1;0;0;Tablilla sobre habilidades de chamán;Enseña una habilidad aleatoria de shaman que todavía no conozcas.
910249;random_class;warlock;1;0;0;Grimorio sobre habilidades de brujo;Enseña una habilidad aleatoria de warlock que todavía no conozcas.
910250;active_talent;druid;40;0;33891;Tomo del Árbol de Vida;Enseña el talento activo Árbol de Vida. Solo puede obtenerse mediante este tomo.
910301;active_card;warrior;1;1;0;Manual sobre Actitud de batalla;Enseña Actitud de batalla. Esta habilidad también puede obtenerse mediante SpellDraft.
910302;active_card;mage;1;2;0;Escrito sobre Bola de Fuego;Enseña Bola de Fuego. Esta habilidad también puede obtenerse mediante SpellDraft.
910303;active_card;mage;4;3;0;Escrito sobre Descarga de Escarcha;Enseña Descarga de Escarcha. Esta habilidad también puede obtenerse mediante SpellDraft.
910304;active_card;warlock;1;4;0;Grimorio sobre Descarga de las Sombras;Enseña Descarga de las Sombras. Esta habilidad también puede obtenerse mediante SpellDraft.
910305;active_card;priest;1;5;0;Códice sobre Punición;Enseña Punición. Esta habilidad también puede obtenerse mediante SpellDraft.
910306;active_card;shaman;1;6;0;Tablilla sobre Descarga de relámpagos;Enseña Descarga de relámpagos. Esta habilidad también puede obtenerse mediante SpellDraft.
910307;active_card;druid;1;7;0;Libro sobre Cólera;Enseña Cólera. Esta habilidad también puede obtenerse mediante SpellDraft.
910308;active_card;warrior;1;8;0;Manual sobre Golpe heroico;Enseña Golpe heroico. Esta habilidad también puede obtenerse mediante SpellDraft.
910309;active_card;druid;4;9;0;Libro sobre Rejuvenecimiento;Enseña Rejuvenecimiento. Esta habilidad también puede obtenerse mediante SpellDraft.
910310;active_card;rogue;1;10;0;Manual sobre Sigilo;Enseña Sigilo. Esta habilidad también puede obtenerse mediante SpellDraft.
910312;active_card;mage;1;12;0;Escrito sobre Intelecto Arcano;Enseña Intelecto Arcano. Esta habilidad también puede obtenerse mediante SpellDraft.
910313;active_card;shaman;1;13;0;Tablilla sobre Ola de sanación;Enseña Ola de sanación. Esta habilidad también puede obtenerse mediante SpellDraft.
910314;active_card;rogue;1;14;0;Manual del Golpe siniestro;Enseña Golpe siniestro. Esta habilidad también puede obtenerse mediante SpellDraft.
910315;active_card;warrior;10;15;0;Manual sobre Actitud defensiva;Enseña Actitud defensiva. Esta habilidad también puede obtenerse mediante SpellDraft.
910316;active_card;druid;1;16;0;Libro sobre Toque de sanación;Enseña Toque de sanación. Esta habilidad también puede obtenerse mediante SpellDraft.
910317;active_card;druid;1;17;0;Libro sobre Marca de lo salvaje;Enseña Marca de lo salvaje. Esta habilidad también puede obtenerse mediante SpellDraft.
910318;active_card;druid;4;18;0;Libro sobre Fuego lunar;Enseña Fuego lunar. Esta habilidad también puede obtenerse mediante SpellDraft.
910319;active_card;druid;6;19;0;Libro sobre Espinas;Enseña Espinas. Esta habilidad también puede obtenerse mediante SpellDraft.
910320;active_card;druid;8;20;0;Libro sobre Raíces enredadoras;Enseña Raíces enredadoras. Esta habilidad también puede obtenerse mediante SpellDraft.
910321;active_card;druid;10;21;0;Libro sobre Forma de oso;Enseña Forma de oso. Esta habilidad también puede obtenerse mediante SpellDraft.
